concept	182 0
explaining	0.94 37.06
mechanical	0.04 56.96
trans-	81 0
noradrenergic	0 2
pool	0 61
nuclei	0 26
amplified	0 29
gi	65.82 0.18
tv	0 14
stays	29.92 1.08
demonstrations	4.54 6.46
video	0.02 59.98
trapping	7 0
evolving	0 39
rudimentary	7.34 0.66
pick	86.28 6.72
regeneration	0 7
compensate	0 68
aperture	0.02 17.98
corrected	45 0
reversible	0.18 14.82
mounted	0 25
pinholes	0.26 0.74
high-	0 35
diffuser	0.04 2.96
deteriorate	4.4 5.6
pinhole	0.26 0.74
spot	0 26
readout	0 5
holograms	0.42 2.58
fidelity	17.98 0.02
splitter	0 2
material	0.06 49.94
front	0.22 82.78
holographic	0 7
quarter	0 22
laid	14 0
sustain	0 12
imaging	0 60
sbn	3 0
exposing	0 6
atr	0.68 46.32
latched	0.1 7.9
comprised	0 48
compromise	43.96 0.04
liquid	0 7
modulators	4 0
hologram	2.98 0.02
separations	7.96 0.04
correlator	0 9
rockwell	0 9
pictures	0 29
bright	0 19
tape	0.26 12.74
gains	0 68
beams	3.5 2.5
beam	0.02 17.98
crt	0 6
tolerance	0.82 49.18
ken	0 12
interrupting	3 0
incident	25 0
wp	8 0
pixels	0.04 167.96
perceptron-like	1.66 3.34
geometries	0 7
pb	10 0
supplying	20.98 0.02
spie	0 26
hughes	0 69
laser	0 21
tolerate	21.96 0.04
superposed	0 5
seven	0 84
sits	0.08 7.92
incorrectly	43.98 0.02
person	0 45
redistribution	0 12
isolate	5.96 14.04
wagner	7 0
band-pass	0 18
topical	4.96 0.04
attractive	108.58 0.42
lose	0 24
grids	0 22
imaged	0 6
fixing	40 0
transport	0 13
broadband	0.02 13.98
photorefractive	0 3
thinner	0 6
cascaded	0 25
promise	0 43
placing	21.82 48.18
amplify	0 15
crystal	2.22 1.78
pm	23 0
crystals	0 5
film	0 7
nm	43 0
thresholded	1.24 47.76
prism	0 7
optically	0.02 6.98
resolution	1.28 180.72
deci-	19.86 0.14
bined	4.76 8.24
shaded	0 44
nique	23 0
substan-	1.92 5.08
heard	0 10
ist	0 15
hod	1.1 1.9
three-layer	44.96 0.04
native	21 0
vowels	0 33
lay	0.12 19.88
supervision	0 15
belong	90.76 7.24
symbols	77.08 5.92
radar	28.98 0.02
non-convex	12.9 0.1
policy	109.86 0.14
break	0.02 73.98
low-pass	0.28 58.72
separating	85 0
first-layer	0.32 9.68
xl	51.96 0.04
generative	77 0
hood	34 0
classifiers	135 0
disjoint	70 0
phonological	0 16
back-prop	12 0
attained	39.98 0.02
hid	5.94 0.06
despite	0 184
spectrographic	0 4
alter-	0 22
adapting	13.24 50.76
tiers	4 0
crafted	1.48 5.52
women	0.5 6.5
crossed	0 13
voice	0 21
excessively	0.22 8.78
comparative	0 70
barney	4.98 0.02
unlabeled	29.9 0.1
sifiers	6 0
knn	17.92 0.08
royal	132.98 0.02
train-	85.98 0.02
ceptron	10 0
lincoln	25 0
alternately	11.36 7.64
hypercubes	2 0
tially	2.22 27.78
constructive	55 0
bp	57 0
k-nearest	30 0
eval-	23 0
head	0 94
triangular	0 22
gauss	9.98 0.02
strongest	0 31
second-layer	0.06 7.94
intersects	11 0
separability	19.98 0.02
interna-	21.64 4.36
classi-	47 0
hard-limiting	5 0
coeffi-	0 16
essence	28.3 2.7
vector-matrix	4.48 0.52
unimportant	19 0
inversion	70.98 0.02
least-square	4.68 1.32
ini-	25 0
racy	0 16
specially	0.16 17.84
tational	31.94 0.06
definite	86.98 0.02
korea	6 0
controllable	0.02 20.98
tial	0 58
adder	5 0
cients	6 0
uniformity	0.24 15.76
compu-	44.04 29.96
mation	160 0
charac-	0 29
gin	8 0
gik	0.54 0.46
dissipative	7.96 0.04
well-	30.96 0.04
nakano	5 0
nonsingular	13 0
vm	0.12 15.88
teristic	6 0
singular	78 0
tii	8 0
elapsed	0.04 12.96
realized	102.98 0.02
confi-	1.58 9.42
excel	0 5
electro-	0 12
electrophysiology	0 12
rf	0 27
underscores	7 0
locate	0 47
acid	0.24 19.76
tactile	0.04 16.96
injections	0 6
extraoral	0.26 0.74
restructuring	2.06 2.94
objectives	25 0
reticulospinal	0 3
sectioned	0 4
vagal	0.26 0.74
lock	0 10
loci	0.02 7.98
agent	63 0
flank	0.02 2.98
upto	0 7
target-tracking	0.18 0.82
phasic	0 12
encyclopedia	0 7
oral	0.02 3.98
directional	0 67
offers	0.02 102.98
fin	0.04 5.96
catfish	0.28 0.72
food	0.02 19.98
asymmetrical	0 10
pools	0.02 27.98
subsystem	0.04 11.96
fish	0 14
owing	0.62 23.38
hard-wired	0 9
rp	0 14
hill	3.16 34.84
problem-solving	5 0
turning	0.02 43.98
jill	0 7
thrust	0.02 8.98
musculature	0 4
brainstem	0 20
tonically	0 7
transverse	0.02 5.98
transduced	0 7
behaviors	0.08 71.92
gentle	0.02 4.98
concentration	0 45
snout	0.16 0.84
lip	0.26 24.74
peroxidase	0 4
inferred	58 0
scattered	28 0
longitudinal	0 8
ipsilateral	0 12
foraging	0 5
hrp	0 2
dl	16.72 15.28
lobe	0 18
pattem	0.02 16.98
adapts	0 48
knowledge-based	24 0
frame	0.16 143.84
ictalurid	0.22 0.78
clues	12.52 1.48
amine	0 7
disproportionately	3.3 2.7
amino	0 15
proposal	0 37
liver	5.52 4.48
locking	0 18
jaw	0 7
mixtures	156.98 0.02
survival	0 15
validate	18 0
ingredients	0 11
goal-directed	0.02 10.98
touch	1.92 22.08
adoption	7 0
cb	0 9
facial	0 28
innervates	0 5
hair	0.02 22.98
reconsider	4 0
manipulations	1.3 27.7
homing	0.02 2.98
dictated	0 25
tracing	0 9
concentrations	0 13
swimming	0 9
locus	0 17
reflexive	0 8
highlight	17.94 4.06
taste	0 2
well-defined	40.6 0.4
organizational	0.04 10.96
gustatory	0.12 1.88
ll	0.02 29.98
strokes	0.04 14.96
excitation	0 119
transported	0 5
suppression	0 38
mediates	0.04 8.96
bilateral	0.08 11.92
organism	0 13
acids	0.06 8.94
relieve	0 4
edu	204.92 0.08
gn	7.98 0.02
tz	13 0
bit-capacity	0.48 0.52
ble	49 0
result-	0 20
attracting	13 0
trend	0 37
folds	0.38 7.62
iterating	40.96 0.04
discrete-time	55 0
wait	0.96 23.04
time-delay	0 62
icnn	5 0
played	0.48 48.52
quences	0 22
smeared	0.04 9.96
den	57 0
neglected	23 0
cross-section	0 6
spreads	0 18
winners	0 9
sonable	8.88 0.12
os	23 0
accumulate	32.8 0.2
y-axis	0 19
shannon	26 0
forth	0 30
nized	0 11
proportionality	16 0
iterative	206 0
to-	0 26
took	0.08 109.92
differentiate	0 45
approximations	189 0
indepen-	46 0
ming	1.12 22.88
willshaw	0.5 13.5
recover	100.1 1.9
denominator	33 0
paid	26.72 1.28
dent	45 0
spatiotemporal	0 46
black	0 158
riding	0 6
simplistic	13 0
contextual	0.02 50.98
verses	2 0
dently	0.02 5.98
weaver	0.02 2.98
tensor	32 0
tantamount	3.96 0.04
reading	0.64 73.36
deletions	0 16
se-	0.3 88.7
pt	47 0
inadequate	0 19
pentti	0 5
skipping	5 0
rii	4.94 0.06
how-	41.2 37.8
x-axis	0.1 26.9
disagree	11.98 0.02
rea-	11 0
unary	0.08 14.92
clipped	13.68 0.32
playing	34.94 7.06
clipping	0.06 10.94
investigating	16.08 61.92
comments	100.28 12.72
hid-	43 0
optimize	131 0
moffett	10 0
itemfive	0 4
sdm	4 0
versatile	6.2 4.8
books	0.7 11.3
relax	0.14 33.86
nf	0 4
signal-to-noise	0 50
coded	0 92
mathematics	94.96 0.04
compli-	5 0
matfix	0.02 7.98
imprecise	0.1 5.9
gc	0 11
non-rigid	12.7 0.3
young	0 63
investigator	0 37
admissible	22.86 3.14
horn	25 0
hutchinson	4 0
penalizes	39.86 0.14
figure-ground	0.06 15.94
camera	0 65
om	0 14
award	0 49
non-quadratic	6 0
endow	4.14 0.86
analog-digital	0 4
ordinary	100.88 0.12
breaking	0 47
zero-crossing	0 15
jin	0 5
loga-	0 7
formulating	27 0
developments	36 0
brightness	0 36
zero-crossings	0 11
veloc-	4.94 0.06
spe-	15.16 1.84
sloan	0.02 41.98
occluding	0.02 13.98
foreground	0.04 11.96
voltages	0 83
governing	0.82 41.18
initialize	89 0
fiat	40 0
smoothes	0.12 6.88
variational	51 0
eyes	0 63
injecting	0.02 18.98
unchanged	46.92 0.08
modern	43.7 0.3
lij	5.52 1.48
emphasis	8.9 45.1
cam-	0 37
coincide	35 0
collaboration	6.78 18.22
iij	9 0
sample-and-hold	0 4
convolved	0 35
intersect	23.72 0.28
dy	32 0
saturates	0 22
euler-lagrange	0 4
encouraged	0 22
refreshed	10 0
reiterate	0 4
penalizing	23.88 0.12
bridge	41 0
pami	8 0
combines	84.46 31.54
pw	0 7
vertebrate	0 31
laplacian	30.96 0.04
treat	92 0
copied	0.02 24.98
yuille	0.08 26.92
vc	55 0
eral	0.02 56.98
smoothest	1.88 1.12
powell	4 0
putations	0 7
rithmic	7 0
exploits	46.98 0.02
subsampled	0 22
batteries	6 0
captured	0 93
battery	0.04 12.96
blob	0 10
intensity-based	0 5
velocities	49 0
undifferentiated	3.98 0.02
embodies	23.92 0.08
hsu	3 0
condi-	0.02 53.98
suffice	3.46 29.54
phototransistors	0.02 4.98
heat	0 15
lowered	0 29
unreliable	38 0
carver	0.08 28.92
binocular	0 47
resistances	0 16
christof	0 44
schunck	0.24 1.76
forget	0 6
alp	0.14 4.86
stabilizing	0 29
tinue	2.5 1.5
hawaii	10 0
overload	7.98 0.02
rithm	101 0
kuh	4 0
excess	48 0
directions	107.66 122.34
settled	15 0
algo-	198.98 0.02
achievable	39.82 0.18
formally	66.62 1.38
europhysics	7.94 0.06
lacks	0.14 22.86
max	139.98 0.02
snr	35.92 0.08
summarize	89 0
putational	0.04 41.96
refresh	0 15
logn	5 0
maximizes	126.86 0.14
plex	0.12 28.88
ltm	5 1
architec-	39.74 15.26
gotten	0 6
begin-	0 6
cumbersome	15.82 0.18
undertaken	0.02 10.98
mono-	12 0
subsection	9 0
ponents	23.98 0.02
attenuated	0 12
opera-	18.96 0.04
argu-	4.98 0.02
alul	0.66 0.34
analyzes	12 0
adaptively	47.98 0.02
anthony	38.98 0.02
mar-	7 0
forgetting	19.94 0.06
drawbacks	22 0
verges	10 0
cuss	5 0
ivs	0.54 0.46
forgotten	2.84 0.16
recoverable	1.78 1.22
manifold	53.78 0.22
letting	74.98 0.02
amn	3 0
pertinent	20.98 0.02
dur-	0 20
netxvork	6 0
overloaded	1.34 1.66
periodically	0 25
accepts	29.96 0.04
for-	43.66 4.34
waits	0.18 6.82
var	6 0
repeatedly	58.22 25.78
saturate	0.06 23.94
hamn	0.66 0.34
holding	48.84 0.16
formance	72.98 0.02
pth	12.98 0.02
alamos	26 0
manifolds	26 0
lapedes	22 0
fractal	19.94 0.06
ods	35.9 0.1
deeply	10 0
supplied	44.88 8.12
seeks	29.64 1.36
ranged	0.42 41.58
exceptionally	0 6
approximating	178 0
dna	26.98 0.02
today	8.3 2.7
degrade	3.34 30.66
nonlin-	0.2 24.8
root	116 0
tau	2 0
rescaling	24 0
economy	0 10
wrong	0.12 86.88
extrapolation	19.88 0.12
interpolation	101 0
strange	17 0
farmer	6.96 0.04
fragment	13 0
name	82.76 0.24
interpolant	6 0
labeling	0 62
feeds	0.04 26.96
math-	14 0
surrounded	28.9 0.1
chaos	0 26
extrapolate	15.9 0.1
unifying	38 0
uncover	15.94 0.06
hyperbolic	35.88 6.12
symbolic	0.14 80.86
alan	0 47
overwhelming	0 5
ential	0 9
param-	83.98 0.02
meth-	46.92 0.08
mackey	6.98 0.02
outstanding	0 6
corrupt	0 7
manipulating	0 29
eter	24 0
absorbed	15.38 0.62
iterate	36 0
inaccuracies	7.58 5.42
databases	52 0
appearing	38.36 19.64
bases	45 0
da	8.72 29.28
expresses	41 0
gorithm	48 0
takens	5 0
achieves	143.7 1.3
anal-	43.78 0.22
non-neural	0 8
los	30.9 65.1
genetic	0.4 43.6
remark	34 0
uncommon	0 6
couple	34.36 1.64
plasma	0 8
memorizing	9 0
testbed	0.02 13.98
protein	0 32
mensional	11.98 0.02
curacy	7.98 0.02
emphasize	33.2 39.8
tapped	0.08 13.92
hiddens	0 3
rna	4.98 0.02
predicting	150 0
nd	0.04 15.96
cations	35 0
interprets	11 0
turbulence	6.82 0.18
compounded	0 6
tomita	9 0
collect	3.22 28.78
extrap-	4.96 0.04
saddles	0.56 0.44
dictates	18 0
ot	73.38 1.62
parameterizing	6.64 0.36
strip	0.04 8.96
multilayer	216 0
restricts	25 0
collapses	9.92 0.08
dangerous	0 8
iterated	58.98 0.02
remove	138.22 0.78
encompass	5.02 3.98
az	0 26
acknowledgments	148.06 143.94
really	95.92 0.08
ridged	0.5 0.5
draw	83.92 0.08
symbol	108 0
inherently	0 58
ridges	1.42 5.58
sigma	7.96 0.04
sidorowich	0.02 2.98
wjk	1.84 3.16
posture	0.02 10.98
bullfrog	0 2
semicircular	0 8
information-processing	0 4
canals	0 7
bode	0 4
intracellularly	0 6
foundations	64 0
ucla	0 9
neck	0 6
st	104 0
topographical	0 5
eg	35.98 0.02
high-gain	0 7
diffused	0 6
hearing	0 27
angular	0.02 62.98
postulate	0.12 17.88
kth	38.34 2.66
goldberg	0 14
organs	0.04 8.96
institutes	0.38 14.62
surprising	71.36 27.64
kj	0 4
segregation	0 30
continuum	4.24 30.76
organ	0.04 7.96
surgery	2.68 5.32
visualize	0.72 24.28
variability	0.44 119.56
cv	25 0
maintenance	0 15
sensed	0 16
variabilities	0 7
vn	19.68 1.32
opportunity	0 36
latest	0 14
crista	0.14 0.86
depicts	32.44 39.56
periphery	0.04 25.96
topographically	0 15
canal	0.06 8.94
diameters	0 11
vicente	2.18 1.82
vestibulo-ocular	0 11
sleep	13.9 0.1
interpolated	0 25
segmentation	0 142
within-class	6 0
extrema	16.98 0.02
concatenations	0 5
discontinuous	29.98 0.02
adequacy	0.04 6.96
event-related	0 10
il	9.58 61.42
brandeis	0 8
conscious	0 11
japan	72 0
fir	19.92 0.08
resorting	0.12 17.88
micro	0.14 4.86
financial	71 0
manifests	0 8
alcohol	2.22 0.78
perception	0 172
muller	0.02 3.98
running	139.2 54.8
millions	0.04 21.96
processin	1.56 0.44
abstracting	0 6
learnin	4.98 0.02
consciousness	4.12 0.88
distinctly	11 0
supporting	0 55
fellowships	0.02 6.98
epochs	0 112
voluntary	0 15
ibaraki	0 5
offered	0 26
coherency	0.02 2.98
drowsiness	0.02 2.98
viewing	0 74
dissimilarity	13.96 0.04
thoughts	0.06 3.94
relief	0.22 1.78
swiss	1.52 16.48
state-dependent	0.1 14.9
isopotential	0 5
manifest	0.22 19.78
electroencephalogram	0 4
momentary	0.06 5.94
developmental	0 37
conservative	35.52 0.48
scalp	10.96 0.04
analysed	25 0
constrains	23 0
sensitively	0.1 4.9
inclusion	0 44
involvement	0 10
suzuki	7 0
opens	0 21
concatenated	35 0
emulates	0 9
step-wise	1.14 2.86
skull	0.32 3.68
landscapes	3.92 5.08
meaningless	18 0
effected	0.08 12.92
francisco	0.08 19.92
durations	0.02 20.98
adult	0 35
comparatively	0 22
cooperative	0 49
revealed	0 79
seemed	0.02 31.98
opportunities	16 0
ical	20.42 66.58
varia-	13.98 0.02
displays	0 86
diag	5.98 0.02
contradiction	12 0
ineffective	4.48 4.52
texts	0 7
gra-	27 0
optimizing	108 0
conductor	1.68 2.32
reviewing	10.98 0.02
caption	8 0
began	0 42
baird	0 25
facilitates	3.66 34.34
multi-dimensional	42 0
ships	0 6
vicinity	15.64 27.36
distinction	68.9 0.1
brody	4 0
advan-	0 16
ef	8 0
optimiza-	29 0
contend	0.08 5.92
favored	14.96 0.04
qualify	1.38 2.62
guckenheimer	2.14 1.86
widths	40.94 3.06
rosner	2 0
bears	0.06 28.94
amplifiers	7.24 19.76
consid-	17 0
ncc	5 0
std	0.04 9.96
relation-	0.02 11.98
visited	48.9 0.1
numer-	12.96 0.04
ter	0 58
subscript	43 0
formulae	28.94 0.06
vations	4.56 3.44
extremum	9 0
klein	5 0
platt	28 0
dv	16 0
ds	27.5 1.5
hinder	0 10
traverse	13 0
stanley	1.5 0.5
conductivity	0 4
erate	0 11
poten-	0 32
ames	21.98 0.02
tage	10 0
direc-	0 31
teukolsky	0.4 3.6
comer	0.12 15.88
reside	6.26 3.74
homogeneously	0 5
obser-	21 0
instantiate	6 0
observable	78 0
route	5.76 26.24
bifurcations	0.14 21.86
bill	0 37
clus-	29.3 0.7
ve	17.96 0.04
anticipating	4.98 0.02
vv	9.76 0.24
vw	10.94 0.06
non-diagonal	9 0
non-invasive	6 0
verifies	0.02 6.98
exper-	0.5 35.5
leong	0 4
spherical	37.98 0.02
arbitrarily	170 0
unambiguously	0.04 9.96
imag-	1.44 2.56
euler	10.98 0.02
denser	5.26 1.74
contradict	4.6 1.4
schematized	1.54 0.46
parasite	0.52 0.48
multiplicative	79.98 0.02
creation	0 44
employing	56 0
mine	0 7
restfits	0.02 3.98
farber	0 8
partials	0.12 5.88
deter-	50 0
holmes	7 0
shading	0 31
sigrnoid	0.44 7.56
simplifications	3.98 17.02
lerner	0.5 0.5
mulated	8 0
harrison	0.12 3.88
complications	16.52 0.48
ine	0 6
gradient-	8 0
terry	10 1
sequent	6 0
searches	0 64
dimensionality	163.96 0.04
perceptual	0 142
enclosed	8.94 0.06
functioning	0.12 22.88
preferences	0.06 33.94
cast	52 0
axes	77 0
ansatz	16.98 0.02
adjusts	38.74 8.26
expose	0 12
constructs	62 0
rendered	0.02 20.98
establishment	0 13
eigen	6.96 0.04
london	56.96 0.04
pitch	0 36
responsive	0 23
positional	0.04 22.96
lc	0 25
xc	6.74 0.26
pca	58 0
someone	1.94 4.06
regularities	0 37
beneath	3.08 8.92
low-dimensional	45 0
borderline	3 0
nominal	1.1 24.9
maximized	56 0
heuristically	0 19
preservation	0 24
m-neighborhood	0.4 0.6
multilayered	0 17
fuller	8.98 0.02
signaling	0 21
interaural	0 10
favors	14.8 20.2
enforces	37 0
altered	0 53
rhs	8 0
thomas	0 75
resemblance	0.04 21.96
helix	3.88 0.12
rectangle	0.02 26.98
low-noise	3.36 0.64
watson	19.28 9.72
nonequilibrium	4 0
quiet	0.02 8.98
system-level	0 5
ears	0 15
three-step	8 0
ralph	20 0
biologically	0 114
voronoi	0 15
tone	0 30
narrower	0.06 24.94
dimensionalities	8 0
real-valued	123 0
saw	23 0
infomax	17.96 0.04
thermodynamics	0 4
emergence	0 59
shed	22 0
convey	0 36
tonotopic	0 5
conveyed	0 27
standpoint	0 11
noise-induced	0 9
unoriented	0 6
yorktown	19.98 0.02
mature	0.14 14.86
organize	0 14
high-dimensional	98 0
conveys	0.14 25.86
equivalently	45 0
concatenating	15 0
deleting	25.84 0.16
implemen-	0 19
heteroassociative	0 5
pxp	4 0
resonator	0 3
missile	1.28 0.72
ciative	0 13
stroke	17.98 0.02
damage	9.36 31.64
coined	0 5
winner-	4.38 14.62
dirac	16 0
orthonormal	35 0
quantum	13.98 0.02
diminishes	0 11
bams	0.76 1.24
reflection	0.02 16.98
dana	0.02 18.98
hypothetical	0.02 23.98
lit	11.94 0.06
fied	0 12
auto-	25 0
grandmother	0 5
bam	3 0
bart	5 0
dls	0.6 0.4
fault	1.64 35.36
speci-	0.08 5.92
take-all	0.02 13.98
ive	5.64 0.36
pruning	80.92 0.08
kosko	0 3
p-dimensional	7 0
transformer	0.72 2.28
quire	7 0
matters	15.94 0.06
content-addressable	10 0
srm	6.96 0.04
carpenter	0.06 11.94
precondition	0.16 1.84
retaining	38.96 0.04
port	8.1 29.9
automaton	27 0
oval	0.06 5.94
flavors	1.4 3.6
council	0 43
phrase	0 31
produc-	8 0
predictors	42 0
tic-tac-toe	0 3
schemata	0 4
explains	56.48 31.52
turing	0 17
las	6 0
chaining	9 0
buffers	2.3 6.7
retained	0.08 42.92
comprises	0 36
revival	0.02 3.98
man-machine	3.68 3.32
manipulation	0 46
alongside	2.36 2.64
speakers	0 56
professor	11.96 0.04
manifestation	0.04 13.96
latches	0.04 7.96
equivalents	0.06 7.94
embeds	1.2 3.8
intelligence	184 0
remembers	0.04 3.96
finite-state	29 0
k-length	0.44 0.56
paradigms	0.84 34.16
indefinitely	0.22 7.78
dept	33 0
remembering	0 5
interacts	0 22
specialization	15 0
avoids	80 0
trivially	26.98 0.02
investigates	21 0
characters	73.92 0.08
propagated	0.04 62.96
database	204.5 2.5
predetermined	0.18 35.82
competence	0.22 9.78
nw	8.7 0.3
productions	3.98 0.02
quently	0 12
accessing	13 0
executable	0 6
feldman	0 11
oj	44 0
augmented	65 0
predictor	82 0
hoped	20.12 1.88
latch	0 16
non-deterministic	0.16 7.84
aw	45.68 0.32
fabricated	0 70
sinking	0.34 2.66
amorphous	0 8
vast	0.26 30.74
impressive	24 0
cascading	0.08 8.92
names	21.9 2.1
hard-	1.4 14.6
slowest	0 13
stream	0 77
decoders	0 8
mainstream	2 3
hand-	28.82 0.18
inserts	0 10
accelerator	0.6 5.4
inverted	27.18 16.82
lag	0 32
pipelined	0.1 7.9
inserted	0.02 27.98
convolver	1.1 1.9
distribute	0.02 17.98
microelectronic	2 3
graf	0 10
interfaced	0.04 8.96
streams	0.8 29.2
duty	0 10
consuming	0 25
transferring	11 0
accumulator	0 7
irrespective	0 17
everyday	2.06 3.94
throughput	0.28 12.72
hans	17.38 0.62
wafer-scale	0 4
on-chip	0 33
unix	0.44 9.56
sized	0.02 38.98
vdd	0 19
stuart	18 0
custom	0 27
amongst	24 0
tiling	12 0
lithography	1.24 0.76
dram	0 7
tailored	32.92 0.08
n-	60 0
connectance	0.3 0.7
diluting	0.28 0.72
disconnected	0 22
oscillation	0.02 72.98
zk	14 0
westervelt	0.14 5.86
leaves	101 0
continuous-time	38 0
stabilized	0 18
oscillator	0.06 44.94
quadrant	18.26 0.74
acknowledges	0 45
saturated	0.04 25.96
focussed	0 22
reveal	0.02 65.98
tji	0 3
marcus	0.08 12.92
clique	12.42 0.58
raster	0 9
prone	24.2 0.8
non-inverting	0.02 2.98
oscillate	0 35
quadrants	4.64 4.36
rough	59 0
photographs	7 0
diluted	0.18 5.82
frustrated	1.16 0.84
triangles	0 26
cz	0 9
overloading	0 4
charged	0 18
guides	0 11
heidelberg	0.04 6.96
breaks	28.38 25.62
unstable	42.88 50.12
sym-	38.72 0.28
rin	6 0
slice	0 36
cliques	8.98 0.02
bond	14.92 0.08
surround	0 36
frustration	0 2
signed	26.88 0.12
nmos	0.02 5.98
unbiased	68 0
evenly	0.04 49.96
gk	0.8 11.2
look-up	24 0
remain-	0 7
apr	3 0
augment	23 0
cam	0.02 13.98
tnm	5 0
playback	0 5
sklansky	3 0
sp	11.8 3.2
sk	13 0
bypass	0 16
assured	12 0
doubles	2.38 2.62
ackley	6 0
kirkpatrick	0 10
lightly	0 7
exclusive	28.12 2.88
alteration	0 12
doubled	14 0
redefine	11 0
tll	4 0
cosine	0.02 40.98
likewise	31.7 0.3
po	41.04 0.96
pl	24.94 0.06
lira	20.98 0.02
pad	1.32 11.68
initialization	0.06 64.94
eigenvectors	73 0
depart	9 0
library	0 24
recalls	6 0
hilbert	27.98 0.02
attribute	58 0
wise	11 0
apnn	0.68 0.32
augmentation	4.98 0.02
cussed	9 0
coarse-coded	0.04 6.96
cmu	0 24
conjunctions	0.02 11.98
street	0 52
incrementally	49.24 10.76
situated	0 19
vided	10.88 0.12
behaviorally	0 11
consequent	16.28 0.72
blur	0 10
mel	0 25
datacube	0.02 3.98
tesauro	0 38
inevitable	0 14
grabbing	0.38 1.62
projective	0 14
challenge	11.7 50.3
typ-	0 14
predicates	0 4
talk	0 23
coarsely-tuned	0.02 2.98
sensory-motor	0 25
realism	0 7
subpopulation	0 7
mental	0 63
autonomously	0.02 18.98
hart	23.98 0.02
adhere	0 7
specific-instance	0.28 0.72
needing	11 0
perturb	0 11
learning-by-doing	0.32 0.68
rewards	44.9 0.1
wasted	17 0
connectionism	0 27
mind	47.8 0.2
affairs	0 5
unprocessed	0 5
wire-frame	2.98 1.02
acquired	0 57
mobile	41.86 0.14
orderly	0 13
shifter	0.06 5.94
discovered	0 83
decompositions	18.94 0.06
retinotopic	0.06 29.94
backtracking	4.98 0.02
continuity	18.14 25.86
altogether	14 0
imitating	10.98 0.02
spots	0 15
calling	22 0
ohio	0.06 12.94
grab	0 4
conjuncts	0 3
imitate	0 15
conse-	11.4 2.6
rumel-	0.1 5.9
handful	0 8
conjunct	0.62 1.38
best-first	10 0
value-coded	0 2
robotics	0 71
discarding	23.96 0.04
endeavor	0.02 4.98
kinematic	0 24
coarse	0 76
joint-angle	0 3
child	36.96 0.04
unfor-	6.98 0.02
single-unit	0.02 9.98
leaning	14 0
omohundro	15.98 0.02
experimen-	8.16 12.84
stepper	0 4
coarsely	0 9
conjunctive	0.16 11.84
wired	0 12
robotic	0.02 33.98
bartlett	27 0
ified	11 0
summer	95 0
cj	24.72 0.28
education	0.36 8.64
plans	0 19
specifics	3.84 4.16
participation	0.02 3.98
sixth	31.26 0.74
vision-based	0 9
subserve	0.02 6.98
coarse-coding	0.04 3.96
continous	0.74 9.26
autonomous	0 70
en	33 0
utility	113 0
translate	31.24 9.76
murphy	15 0
official	22 0
task-relevant	0.04 6.96
recognizable	0.3 17.7
direction-selective	0 7
immunity	0 8
repre-	0 129
disjunction	8.96 0.04
signalling	0 14
estab-	0 7
dij	9 0
includ-	0 14
miller	31.82 22.18
librium	7.76 0.24
survey	0.12 35.88
qual-	9 0
mso	5.94 0.06
notre	3 0
philosophy	0 17
ysis	37 0
view-	0 8
equi-	12 0
sij	10 0
microstructures	0 6
instability	21.96 11.04
counterpart	0 29
phrased	6.94 0.06
mad	7.92 0.08
equilibria	5.54 5.46
perturbations	0.26 50.74
pertur-	10 0
mini	4.98 0.02
rearranged	0 6
ki	23.68 2.32
sector	0 9
surveyed	3 0
emd	0.06 6.94
large-scale	0 63
enumerated	0 5
propriate	8.96 0.04
aii	6 0
herein	12 0
rij	4.04 9.96
oij	12 0
counterparts	16 0
maxi	5 0
interconnecting	5.04 2.96
proach	62 0
m-	21 0
farrell	2 0
ixl	13 0
north	0 53
intercon-	0 9
sta-	39 0
lend	27 0
xthe	0.16 3.84
fault-tolerant	0 7
aeronautics	0.02 19.98
thickness	22.98 0.02
chang	0.34 8.66
off-	11 0
oxide	0 10
photomicrograph	1.6 7.4
purity	0 4
roughness	4 0
two-level	10.96 0.04
bridges	6.98 0.02
oxygen	0.94 3.06
rc	0 43
linking	0 36
defects	0.2 10.8
suitability	9.96 0.04
nmosfet	0.38 0.62
programmability	0.04 5.96
